FG,H,PP,RA,SLP,SN,T,TM,TS,Tm,V,VG,VM,VV,altitud,continente,dia,estacion,idEstacion,latitud,longitud,mes,pais,year
-,-,0,-,1007.1,-,28.2,30.1,-,26.4,10,-,22.2,-,0,Oceanía,6, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1008.9,-,27.2,29.4,-,25.5,11.7,-,20.6,-,0,Oceanía,5, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1009.1,-,27.7,29.1,-,26.5,10.6,-,20.6,-,0,Oceanía,6, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1005.5,-,28.7,29.8,-,27.3,11.3,-,18.3,-,0,Oceanía,6, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1007.8,-,28.4,29.6,-,27.3,12.6,-,20.6,-,0,Oceanía,5, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1007.3,-,28.3,29.8,-,27.2,13,-,20.6,-,0,Oceanía,6, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1007.9,-,28.7,29.7,-,27.7,13.3,-,22.2,-,0,Oceanía,7, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1005.5,-,28.5,30.2,-,27.5,11.5,-,24.1,-,0,Oceanía,5, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1005.3,-,28.5,29.9,-,27.5,11.5,-,16.5,-,0,Oceanía,6, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1005.2,-,28.1,29.6,-,26.1,9.6,-,18.3,-,0,Oceanía,7, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,5, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,6, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1008.9,-,28.3,29.5,-,26.5,7,-,14.8,-,0,Oceanía,7, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1008.5,-,26.7,29,-,23.7,6.9,-,24.1,-,0,Oceanía,11, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.8,-,27.4,30.5,-,26.3,5.7,-,14.8,-,0,Oceanía,12, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.6,-,28.2,29.1,-,26.9,4.6,-,11.1,-,0,Oceanía,13, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,5, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,6, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,0,-,1007.5,-,27.8,29.9,-,25.1,7.4,-,20.6,-,0,Oceanía,7, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1007.5,-,27.9,29.5,-,26.5,8.5,-,13,-,0,Oceanía,8, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1009.1,-,27.8,29.3,-,26.7,10.4,-,18.3,-,0,Oceanía,7, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1008.9,-,27.7,29.6,-,26.5,9.4,-,18.3,-,0,Oceanía,8, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1007.6,-,27.8,29.3,-,26.6,10.2,-,18.3,-,0,Oceanía,9, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1007.3,-,27.9,29.4,-,26.6,7.6,-,14.8,-,0,Oceanía,10, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1005.8,-,28.2,29.5,-,26.9,8.7,-,16.5,-,0,Oceanía,7, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1006.4,-,28.2,29.6,-,27.1,6.3,-,14.8,-,0,Oceanía,8, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1007.2,-,28.6,30.2,-,27.1,8.7,-,16.5,-,0,Oceanía,9, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1008.8,-,28,29.7,-,25.5,8.3,-,14.8,-,0,Oceanía,8, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1008.0,-,28.3,29.5,-,27.5,10.6,-,18.3,-,0,Oceanía,9, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1007.7,-,28,29.6,-,26.7,8.5,-,18.3,-,0,Oceanía,10, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1005.3,-,27.8,29,-,26.1,7.8,-,16.5,-,0,Oceanía,8, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1006.6,-,28.1,29.9,-,26.9,8,-,13,-,0,Oceanía,9, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1008.2,-,27.7,29.6,-,26.5,5.7,-,13,-,0,Oceanía,10, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1008.4,-,28.6,29.6,-,27.5,9.4,-,18.3,-,0,Oceanía,8, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1007.1,-,28.9,30.4,-,28,10.2,-,16.5,-,0,Oceanía,9, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,10, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1007.5,-,28.4,29.5,-,27.3,5.7,-,13,-,0,Oceanía,14, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1007.9,-,28.6,29.8,-,27.8,5.2,-,13,-,0,Oceanía,15, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.5,-,28.7,30.6,-,27.2,7.6,-,16.5,-,0,Oceanía,16, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1006.5,-,27.4,28.5,-,26,7.8,-,16.5,-,0,Oceanía,7, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,0,-,1006.0,-,27.7,28.6,-,27,8.5,-,16.5,-,0,Oceanía,8, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,0,-,1007.1,-,27.7,29.2,-,26.2,8,-,14.8,-,0,Oceanía,9, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1006.7,-,28.1,29.8,-,26.9,5.4,-,13,-,0,Oceanía,10, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1007.6,-,28,29.3,-,27,9.6,-,16.5,-,0,Oceanía,11, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1008.3,-,28.1,29.6,-,26.8,8.7,-,14.8,-,0,Oceanía,12, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1008.8,-,28.2,29.5,-,27.1,8.1,-,16.5,-,0,Oceanía,13, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1007.3,-,28.4,30,-,27.2,9.8,-,18.3,-,0,Oceanía,10, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1007.1,-,28.5,30.1,-,27.1,7.6,-,14.8,-,0,Oceanía,11, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1007.6,-,28,30.3,-,25.7,7.8,-,16.5,-,0,Oceanía,11, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1008.7,-,28.1,29.6,-,26.4,10.2,-,18.3,-,0,Oceanía,12, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1009.4,-,27.6,28.5,-,25.6,5.6,-,13,-,0,Oceanía,11, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1009.0,-,27.7,29.3,-,26.6,3.5,-,9.4,-,0,Oceanía,12, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1008.9,-,27.8,29,-,26.3,5.6,-,14.8,-,0,Oceanía,13, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,11, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,12, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1006.7,-,28.9,30.5,-,27.4,9.8,-,18.3,-,0,Oceanía,13, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1008.5,-,28.4,30,-,26.8,6.9,-,14.8,-,0,Oceanía,17, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.1,-,28.6,29.9,-,27.6,7.2,-,14.8,-,0,Oceanía,18, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.2,-,28.9,30.3,-,27.7,9.6,-,16.5,-,0,Oceanía,19, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1006.7,-,28.1,29.2,-,27.1,12,-,20.6,-,0,Oceanía,9, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,10, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,11, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,0,-,1005.7,-,28.4,29.3,-,27.5,14.1,-,24.1,-,0,Oceanía,11, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1005.7,-,28.1,29.2,-,26.7,7.4,-,14.8,-,0,Oceanía,12, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1009.4,-,28.1,29.4,-,27.2,9.1,-,16.5,-,0,Oceanía,14, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1009.1,-,28.1,29.1,-,27.2,10.4,-,20.6,-,0,Oceanía,15, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1006.4,-,28.6,30.5,-,26.9,8.5,-,18.3,-,0,Oceanía,12, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1009.4,-,28,29.5,-,25.5,9.1,-,18.3,-,0,Oceanía,13, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1009.6,-,27.7,29.4,-,25.3,8.5,-,14.8,-,0,Oceanía,14, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1009.1,-,27.4,28.6,-,26.1,6.9,-,16.5,-,0,Oceanía,15, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1009.1,-,28.2,29.2,-,26.7,8.7,-,16.5,-,0,Oceanía,14, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1009.1,-,27.7,29.4,-,26.8,10.4,-,14.8,-,0,Oceanía,15, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1009.0,-,26.9,28.1,-,25,7.8,-,16.5,-,0,Oceanía,16, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,77,0,-,1002,-,27.4,31.6,-,25.4,32.6,-,50,-,15,Oceanía,1, RAKIRAKI AWS,,-17.35,178.21,Enero,Fiyi,2019
-,-,0,-,1006.1,-,28.8,30,-,27.4,10.9,-,16.5,-,0,Oceanía,14, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1005.7,-,28.7,30.6,-,26.8,10,-,18.3,-,0,Oceanía,15, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,16, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,17, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1008.5,-,29.1,30.5,-,27.9,9.6,-,16.5,-,0,Oceanía,20, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.5,-,27.3,30.5,-,23.6,8.3,-,20.6,-,0,Oceanía,21, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.3,-,28.1,30.7,-,24.6,8,-,18.3,-,0,Oceanía,22, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.3,-,28.7,30.3,-,26.7,8.7,-,16.5,-,0,Oceanía,23, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,85,12.95,-,1005.7,-,27.3,29.1,-,11.1,17.6,-,27.8,-,15,Oceanía,1, RAKIRAKI AWS,,-17.35,178.21,Febrero,Fiyi,2019
-,78,0.51,-,1006.8,-,28.6,31.2,-,24.8,12.6,-,24.1,-,15,Oceanía,1, RAKIRAKI AWS,,-17.35,178.21,Marzo,Fiyi,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,12, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,0,-,1006.7,-,28.2,29.3,-,27.1,9.3,-,14.8,-,0,Oceanía,13, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,0,-,1005.4,-,28.1,29.3,-,27.1,8.5,-,16.5,-,0,Oceanía,13, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1005.2,-,27.9,28.7,-,27.4,11.7,-,16.5,-,0,Oceanía,14, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1005.6,-,28.4,30.2,-,27.4,10.7,-,20.6,-,0,Oceanía,15, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1006.0,-,28.9,31,-,27.9,11.1,-,22.2,-,0,Oceanía,16, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1008.9,-,28.3,29.6,-,27.2,11.1,-,18.3,-,0,Oceanía,16, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1008.8,-,28.4,29.7,-,27.5,12.8,-,22.2,-,0,Oceanía,17, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1008.5,-,28.2,30,-,25.8,10.7,-,16.5,-,0,Oceanía,18, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1008.8,-,28.3,29.8,-,27.1,9.3,-,22.2,-,0,Oceanía,19, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1006.3,-,28.4,29.9,-,27.1,8.5,-,18.3,-,0,Oceanía,13, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1007.5,-,28.7,30.8,-,27.1,6.9,-,13,-,0,Oceanía,14, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1007.6,-,28.3,30,-,26.5,10.6,-,20.6,-,0,Oceanía,15, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1009.1,-,27.7,28.9,-,26.5,6.1,-,9.4,-,0,Oceanía,16, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1009.0,-,27.5,29,-,25.9,5.4,-,18.3,-,0,Oceanía,17, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1009.5,-,28.2,29.4,-,27,10.6,-,18.3,-,0,Oceanía,18, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1009.5,-,28.5,29.8,-,27.5,11.1,-,18.3,-,0,Oceanía,19, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1009.4,-,26.5,28.4,-,24.3,5,-,11.1,-,0,Oceanía,17, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1009.3,-,27.3,29,-,25.1,8.5,-,16.5,-,0,Oceanía,18, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1008.8,-,27.8,29.5,-,25.1,6.5,-,11.1,-,0,Oceanía,19, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1008.4,-,28.5,29.9,-,27.1,9.3,-,16.5,-,0,Oceanía,20, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,75,0,-,1003.5,-,27.4,30.9,-,25.4,40.2,-,50,-,15,Oceanía,2, RAKIRAKI AWS,,-17.35,178.21,Enero,Fiyi,2019
-,88,16,-,1003.6,-,25.8,30.2,-,24.8,38.2,-,44.6,-,15,Oceanía,3, RAKIRAKI AWS,,-17.35,178.21,Enero,Fiyi,2019
-,89,22.1,-,1002.8,-,26.6,30,-,24.4,38.2,-,46.5,-,15,Oceanía,4, RAKIRAKI AWS,,-17.35,178.21,Enero,Fiyi,2019
-,91,19.05,-,1002,-,25.4,27.9,-,24.9,36.1,-,44.6,-,15,Oceanía,5, RAKIRAKI AWS,,-17.35,178.21,Enero,Fiyi,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,18, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1005.2,-,28.3,30,-,25.7,6.9,-,13,-,0,Oceanía,19, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1004.9,-,27.6,29,-,26.4,4.3,-,11.1,-,0,Oceanía,20, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1005.8,-,26.6,28.9,-,24.6,5.4,-,16.5,-,0,Oceanía,21, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1008.4,-,28.6,30.6,-,27.2,8.1,-,14.8,-,0,Oceanía,24, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.3,-,28.5,29.9,-,27,8.9,-,18.3,-,0,Oceanía,25, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.3,-,28.7,30.5,-,25.7,8.5,-,14.8,-,0,Oceanía,26, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,84,45.97,-,1006.1,-,27.3,29.9,-,12.1,15.6,-,25.9,-,15,Oceanía,2, RAKIRAKI AWS,,-17.35,178.21,Febrero,Fiyi,2019
-,82,0,-,1005.7,-,28.2,31.2,-,15.1,12,-,16.5,-,15,Oceanía,3, RAKIRAKI AWS,,-17.35,178.21,Febrero,Fiyi,2019
-,84,0.51,-,1004.6,-,27.7,31.5,-,24.3,11.5,-,25.9,-,15,Oceanía,4, RAKIRAKI AWS,,-17.35,178.21,Febrero,Fiyi,2019
-,81,0.51,-,1003.8,-,28.2,33.9,-,22.6,31.1,-,37,-,15,Oceanía,5, RAKIRAKI AWS,,-17.35,178.21,Febrero,Fiyi,2019
-,83,0.51,-,1009.2,-,27.9,34.8,-,16.1,11.5,-,20.6,-,15,Oceanía,2, RAKIRAKI AWS,,-17.35,178.21,Marzo,Fiyi,2019
-,81,12.95,-,1011.6,-,27.9,39.7,-,24,10,-,18.3,-,15,Oceanía,3, RAKIRAKI AWS,,-17.35,178.21,Marzo,Fiyi,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,Oceanía,4, RAKIRAKI AWS,,-17.35,178.21,Marzo,Fiyi,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,Oceanía,5, RAKIRAKI AWS,,-17.35,178.21,Marzo,Fiyi,2019
-,-,0,-,1006.9,-,28.1,29.3,-,27,9.6,-,18.3,-,0,Oceanía,14, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,0,-,1006.5,-,28.3,29.1,-,27.4,10.6,-,14.8,-,0,Oceanía,15, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,Oceanía,16, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,0,-,1005.3,-,29.1,30.2,-,28,12.2,-,20.6,-,0,Oceanía,17, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1004.5,-,28.9,30.2,-,27.9,12,-,16.5,-,0,Oceanía,18, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1004.4,-,28.4,30,-,27,7.4,-,16.5,-,0,Oceanía,19, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1004.5,-,28.6,30.4,-,27.3,5.4,-,14.8,-,0,Oceanía,20, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,93,49.02,-,1006,-,27.1,28.6,-,25.2,22.2,-,29.4,-,5,Oceanía,1, VANUA BALAVU AWS,,-17.23,-178.91,Enero,Fiyi,2019
-,79,0,-,1006,-,29.8,33.3,-,26.4,8.3,-,13,-,5,Oceanía,1, VIWA AWS,,-17.15,176.91,Marzo,Fiyi,2019
-,-,0,-,1009.2,-,28.3,29.6,-,27.3,9.8,-,18.3,-,0,Oceanía,20, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,88,20.57,-,1004.7,-,27.4,31.5,-,25.8,7,-,9.4,-,5,Oceanía,1, VIWA AWS,,-17.15,176.91,Febrero,Fiyi,2019
-,-,0,-,1006.7,-,28.9,30.4,-,27.9,10.7,-,22.2,-,0,Oceanía,16, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1006.3,-,28.3,29.7,-,27,12.8,-,24.1,-,0,Oceanía,17, NAURU,,-0.5,166.91,Octubre,Nauru,2000
